imagesource,ratiodec,ui,imagesqin,rolledpapertaruicost
Italy,0.68,29,196,0.446
Italy,0.68,55,715,0.446
Italy,0.68,67,1080,0.446
Italy,0.68,77,1426,0.495
Italy,0.68,96,2195,0.528
Italy,0.68,,,0.528
Italy,0.69,37,326,0.446
Italy,0.69,54,704,0.446
Italy,0.69,66,1053,0.446
Italy,0.69,81,1584,0.495
Italy,0.69,98,2320,0.528
Italy,0.69,,,0.528
Italy,0.7,36,315,0.446
Italy,0.7,48,560,0.446
Italy,0.7,65,1026,0.446
Italy,0.7,79,1526,0.495
Italy,0.7,96,2240,0.528
Italy,0.7,,,0.528
Italy,0.71,24,140,0.446
Italy,0.71,48,560,0.446
Italy,0.71,60,875,0.446
Italy,0.71,72,1260,0.495
Italy,0.71,96,2240,0.528
Italy,0.71,,,0.528
Italy,0.72,31,234,0.446
Italy,0.72,47,527,0.446
Italy,0.72,59,833,0.446
Italy,0.72,78,1463,0.495
Italy,0.72,93,2106,0.528
Italy,,,,0.528
Italy,0.73,33,266,0.446
Italy,0.73,52,660,0.446
Italy,0.73,66,1064,0.446
Italy,0.73,83,1663,0.495
Italy,0.73,99,2394,0.528
Italy,0.73,,,0.528
Italy,0.74,35,304,0.446
Italy,0.74,54,713,0.446
Italy,0.74,68,1131,0.446
Italy,0.74,80,1564,0.495
Italy,0.74,101,2494,0.528
Italy,0.74,,,0.528
Italy,0.75,28,192,0.446
Italy,0.75,56,768,0.446
Italy,0.75,70,1200,0.446
Italy,0.75,84,1728,0.495
Italy,0.75,98,2352,0.528
Italy,0.75,,,0.528
Italy,0.76,37,336,0.446
Italy,0.76,60,884,0.446
Italy,0.76,67,1102,0.446
Italy,0.76,83,1692,0.495
Italy,0.76,97,2310,0.528
Italy,0.76,,,0.528
Italy,0.77,35,293,0.446
Italy,0.77,58,813,0.446
Italy,0.77,69,1170,0.446
Italy,0.77,81,1593,0.495
Italy,0.77,96,2241,0.528
Italy,0.77,,,0.528
Italy,0.78,39,370,0.446
Italy,0.78,57,800,0.446
Italy,0.78,70,1190,0.446
Italy,0.78,82,1656,0.495
Italy,0.78,98,2365,0.528
Italy,0.78,,,0.528
Italy,0.79,25,154,0.446
Italy,0.79,50,616,0.446
Italy,0.79,71,1225,0.446
Italy,0.79,84,1739,0.495
Italy,0.79,100,2464,0.528
Italy,0.79,,,0.528
Italy,0.8,36,320,0.446
Italy,0.8,54,320,0.446
Italy,0.8,72,720,0.446
Italy,0.8,81,1280,0.495
Italy,0.8,99,1620,0.528
Italy,0.8,,,0.528
Italy,0.81,36,325,0.446
Italy,0.81,58,832,0.446
Italy,0.81,73,1300,0.446
Italy,0.81,87,1872,0.495
Italy,0.81,102,2548,0.528
Italy,0.81,,,0.528
Italy,0.82,37,330,0.446
Italy,0.82,59,848,0.446
Italy,0.82,73,1320,0.446
Italy,0.82,84,1748,0.495
Italy,0.82,102,2590,0.528
Italy,0.82,,,0.528
Italy,0.83,33,270,0.446
Italy,0.83,55,750,0.446
Italy,0.83,66,1080,0.446
Italy,0.83,88,1920,0.495
Italy,0.83,99,2430,0.528
Italy,0.83,,,0.528
Italy,0.84,35,304,0.446
Italy,0.84,46,525,0.446
Italy,0.84,70,1216,0.446
Italy,0.84,81,1628,0.495
Italy,0.84,94,2193,0.528
Italy,0.84,,,0.528
Italy,0.85,39,383,0.446
Italy,0.85,61,924,0.446
Italy,0.85,81,1639,0.495
Italy,0.85,94,2206,0.528
Italy,0.85,,,0.528
Italy,0.86,35,296,0.446
Italy,0.86,45,495,0.446
Italy,0.86,69,1184,0.446
Italy,0.86,82,1672,0.495
Italy,0.86,97,2340,0.528
Italy,0.86,,,0.528
Italy,0.88,32,255,0.446
Italy,0.88,47,550,0.446
Italy,0.88,71,1238,0.446
Italy,0.88,79,1554,0.495
Italy,0.88,98,2379,0.528
Italy,0.88,119,3497,0.528
Italy,0.91,32,248,0.446
Italy,0.91,42,440,0.446
Italy,0.91,63,990,0.446
Italy,0.91,73,1311,0.495
Italy,0.91,84,1760,0.528
Italy,0.91,,,0.528
Italy,1,24,144,0.446
Italy,1,32,256,0.446
Italy,1,40,400,0.446
Italy,1,60,900,0.446
Italy,1,72,1296,0.495
Italy,1,80,1296,0.528
Italy,1,,,0.528
Old World,0.12,38,133,0.045
Old World,0.12,48,213,0.045
Old World,0.12,57,306,0.045
Old World,0.12,67,417,0.045
Old World,0.12,,,0.045
Old World,0.14,38,192,0.045
Old World,0.14,48,300,0.045
Old World,0.14,64,540,0.045
Old World,0.14,,,0.045
Old World,0.16,43,222,0.045
Old World,0.16,54,345,0.045
Old World,0.16,63,473,0.045
Old World,0.16,,,0.045
Old World,0.17,42,216,0.045
Old World,0.17,49,294,0.045
Old World,0.17,56,384,0.045
Old World,0.17,63,486,0.045
Old World,0.17,,,0.045
Old World,0.18,38,784,0.045
Old World,0.18,48,300,0.045
Old World,0.18,57,432,0.045
Old World,0.18,67,588,0.045
Old World,0.18,,,0.045
Old World,0.2,36,180,0.045
Old World,0.2,42,245,0.045
Old World,0.2,48,320,0.045
Old World,0.2,66,605,0.045
Old World,0.2,,,0.045
Old World,0.22,39,224,0.045
Old World,0.22,49,350,0.045
Old World,0.22,59,504,0.045
Old World,0.22,68,686,0.045
Old World,0.22,,,0.045
Old World,0.24,41,264,0.045
Old World,0.24,52,415,0.045
Old World,0.24,57,506,0.045
Old World,0.24,65,650,0.045
Old World,0.24,,,0.045
Old World,0.25,40,256,0.045
Old World,0.25,50,400,0.045
Old World,0.25,60,576,0.045
Old World,0.25,70,784,0.045
Old World,0.25,,,0.045
Old World,0.27,38,240,0.045
Old World,0.27,48,375,0.045
Old World,0.27,57,540,0.045
Old World,0.27,71,840,0.045
Old World,0.27,,,0.045
Old World,0.28,39,255,0.045
Old World,0.28,50,429,0.045
Old World,0.28,58,574,0.045
Old World,0.28,67,767,0.045
Old World,0.28,,,0.045
Old World,0.29,27,123,0.045
Old World,0.29,36,218,0.045
Old World,0.29,53,492,0.045
Old World,0.29,71,872,0.045
