Image Source,Product Description,Sku  Code,Size Code,Size Description,UI,Printed Substrate Length,Printed Substrate Width,Printed Substrate    Sq Ft,Image Sq In,Image Sq Ft,Ratio,Decimal Ratio,Size,Length,Width,Product Description,Sku Code,Rolled Canvas White Border - Estimated Cost,Rolled Canvas White Border -  Estimated Retail,Rolled Canvas White Border - UI Retail,Rolled Canvas White Border -  TAR UI Cost,,Product Description,Sku Code,Size Code,"Rolled Canvas with 2"" Black Border - UI","Rolled Canvas 2"" Black Border - Estimated Cost","Rolled Canvas 2"" Black Border - Estimated Retail","Rolled Canvas 2"" Black Border - UI Retail","Rolled Canvas 2"" Black Border - TAR UI Cost",,Product Description,Sku Code,Size Code,"Rolled Canvas with 2"" Mirrored Border - UI","Rolled Canvas 2"" Mirror Border - Estimated Cost","Rolled Canvas 2"" Mirror Border -  Estimated Retail","Rolled Canvas 2"" Mirror - UI Retail","Rolled Canvas 2"" Mirror - TAR UI Cost",,
San Diego,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.31,22.5 x 72,22.5,72,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,S,Small,41,16,42,4.67,310,2.15,,0.32,10 x 31,10,31,"Canvas Giclee Print with 3"" White Border",WH,27.06,$90.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,45,29.70,$99.00,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,45,34.90,$116.33,$2.59,$0.776,,
San Diego,Giclee Print on Canvas,CV,M,Medium,53,19,50,6.60,520,3.61,,0.32,13 x 40,13,40,"Canvas Giclee Print with 3"" White Border",WH,33.23,$110.77,$2.09,$0.627,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,57,35.74,$119.13,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,57,42.13,$140.45,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,64,22,60,9.17,744,5.17,,0.32,15.5 x 48,15.5,48,"Canvas Giclee Print with 3"" White Border",WH,44.35,$147.84,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,68,47.12,$157.08,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,68,55.20,$184.01,$2.71,$0.812,,
San Diego,Giclee Print on Canvas,CV,O,Oversize,70,23,60,9.58,901,6.26,,0.32,17 x 53,17,53,"Canvas Giclee Print with 3"" White Border",WH,55.44,$184.80,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,74,58.61,$195.36,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,74,66.91,$223.04,$3.01,$0.904,,
San Diego,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.32,23 x 71,23,71,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,S,Small,40,16,36,4.00,300,2.08,1:3,0.33,10 x 30,10,30,"Canvas Giclee Print with 3"" White Border",WH,26.40,$88.00,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,44,29.04,$96.80,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,44,34.12,$113.74,$2.59,$0.776,,
San Diego,Giclee Print on Canvas,CV,M,Medium,48,18,42,5.25,432,3.00,1:3,0.33,12 x 36,12,36,"Canvas Giclee Print with 3"" White Border",WH,30.10,$100.32,$2.09,$0.627,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,52,32.60,$108.68,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,52,38.44,$128.13,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,64,22,60,9.17,768,5.34,1:3,0.33,16 x 48,16,48,"Canvas Giclee Print with 3"" White Border",WH,44.35,$147.84,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,68,47.12,$157.08,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,68,55.20,$184.01,$2.71,$0.812,,
San Diego,Giclee Print on Canvas,CV,O,Oversize,72,24,60,10.00,"1,200",8.34,1:3,0.33,18 x 54,18,54,"Canvas Giclee Print with 3"" White Border",WH,57.02,$190.08,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,76,60.19,$200.64,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,76,68.72,$229.06,$3.01,$0.904,,
San Diego,Giclee Print on Canvas,CV,C,Custom,,,,,,,1:3,0.33,28 x 84,28,84,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,S,Small,43,17,42,4.96,352,2.44,,0.34,11 x 32,11,32,"Canvas Giclee Print with 3"" White Border",WH,28.38,$94.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,47,31.02,$103.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,47,36.45,$121.50,$2.59,$0.776,,
San Diego,Giclee Print on Canvas,CV,M,Medium,54,20,50,6.94,550,3.82,,0.34,13.75 x 40,13.75,40,"Canvas Giclee Print with 3"" White Border",WH,33.86,$112.86,$2.09,$0.627,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,58,36.37,$121.22,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,58,42.87,$142.91,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,65,23,60,9.58,792,5.50,,0.34,16.5 x 48,16.5,48,"Canvas Giclee Print with 3"" White Border",WH,45.05,$150.15,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,69,47.82,$159.39,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,69,56.01,$186.71,$2.71,$0.812,,
